Description de l'image recherchée,Résultats,timestamp
un chat orange,"[{""image"": "".gradio\\flagged\\R\u00e9sultats\\3951ddee502821575914\\image.webp"", ""caption"": ""Score: 28.38%""}, {""image"": "".gradio\\flagged\\R\u00e9sultats\\32154493d004b1905a00\\image.webp"", ""caption"": ""Score: 28.09%""}, {""image"": "".gradio\\flagged\\R\u00e9sultats\\f49e98aa692fd4362ee6\\image.webp"", ""caption"": ""Score: 26.80%""}, {""image"": "".gradio\\flagged\\R\u00e9sultats\\a9b1d2965e5ecedfc62e\\image.webp"", ""caption"": ""Score: 26.78%""}, {""image"": "".gradio\\flagged\\R\u00e9sultats\\50c516d1b3b33caa154f\\image.webp"", ""caption"": ""Score: 26.76%""}, {""image"": "".gradio\\flagged\\R\u00e9sultats\\c97c7cae1cf6be26c356\\image.webp"", ""caption"": ""Score: 26.69%""}]",2026-01-19 16:19:27.212909
un chat orange,"[{""image"": "".gradio\\flagged\\R\u00e9sultats\\a75eb09b3044553606e2\\image.webp"", ""caption"": ""Score: 28.38%""}, {""image"": "".gradio\\flagged\\R\u00e9sultats\\fb805bba2c0963ff91ac\\image.webp"", ""caption"": ""Score: 28.09%""}, {""image"": "".gradio\\flagged\\R\u00e9sultats\\8f02dacbb2e509a782ac\\image.webp"", ""caption"": ""Score: 26.80%""}, {""image"": "".gradio\\flagged\\R\u00e9sultats\\af8648fdb7c915337f2d\\image.webp"", ""caption"": ""Score: 26.78%""}, {""image"": "".gradio\\flagged\\R\u00e9sultats\\182d3e340e7a2c87293d\\image.webp"", ""caption"": ""Score: 26.76%""}, {""image"": "".gradio\\flagged\\R\u00e9sultats\\f8769b16de54ff61fbfa\\image.webp"", ""caption"": ""Score: 26.69%""}]",2026-01-19 16:19:31.063083
